fecha,hora,fuente_oficial,fuente_alterna,confirmados,fallecidos,recuperados,descartados,graves,activos,nuevos_confirmados,nuevos_fallecidos,nuevos_recuperados,nuevos_descartados,nuevos_graves,nuevos_activos,mujeres,hombres,adultos,mayores,menores,costarricenses,extranjeros,edad_min,edad_max,comentarios
2020-03-06,15:31,https://www.ministeriodesalud.go.cr/index.php/centro-de-prensa/noticias/741-noticias-2020/1555-caso-confirmado-por-covid-19-en-costa-rica,https://twitter.com/delfinocrc/status/1236041661119070209,1,0,0,2,,1,,,,,,,1,0,1,0,0,0,1,49,49,
2020-03-07,19:14,https://twitter.com/msaludcr/status/1236469225696395264,https://twitter.com/delfinocrc/status/1236460218571264000,5,0,0,,1,5,4,0,0,-2,1,4,3,2,4,1,0,3,2,49,73,
2020-03-08,18:33,https://www.ministeriodesalud.go.cr/index.php/centro-de-prensa/noticias/741-noticias-2020/1558-ante-casos-de-covid-19-cne-y-salud-elevan-alerta-sanitaria-a-alerta-amarilla,https://twitter.com/delfinocrc/status/1236812413250482176,9,0,0,12,1,9,4,0,0,12,0,4,6,3,7,2,0,6,3,49,73,
2020-03-09,13:27,https://www.ministeriodesalud.go.cr/index.php/centro-de-prensa/noticias/741-noticias-2020/1560-gobierno-cancela-eventos-masivos-e-instruye-teletrabajo-para-sector-publico,https://twitter.com/delfinocrc/status/1237097682096840705,9,0,0,35,1,9,0,0,0,23,0,0,6,3,7,2,0,6,3,49,73,
2020-03-10,13:38,https://www.ministeriodesalud.go.cr/index.php/centro-de-prensa/noticias/741-noticias-2020/1561-casos-confirmados-covid-19-ascienden-a-13,https://twitter.com/delfinocrc/status/1237559116224057345,13,0,0,179,1,13,4,0,0,144,0,4,7,6,9,2,2,8,3,11,73,"El comunicado del Ministerio de Salud indica que los casos son en San José, Heredia, Guanacaste y Alajuela"
2020-03-11,19:43,https://www.ministeriodesalud.go.cr/index.php/centro-de-prensa/noticias/741-noticias-2020/1565-ministro-de-salud-daniel-salas-todos-debemos-contribuir-para-proteger-a-la-poblacion-mas-vulnerable-ante-el-covid-19,https://twitter.com/delfinocrc/status/1237817552442703873,22,0,0,118,1,22,9,0,0,-61,0,9,14,8,18,2,2,19,3,10,73,
2020-03-12,16:18,https://twitter.com/msaludcr/status/1238228003664076802,https://twitter.com/delfinocrc/status/1238203824608854023,23,0,0,206,1,23,1,0,0,88,0,1,14,9,19,2,2,20,3,10,73,
2020-03-13,19:41,https://www.ministeriodesalud.go.cr/sobre_ministerio/prensa/img_cvd/img_datos_marzo_2020_3.pdf,https://twitter.com/delfinocrc/status/1238617708813524994,26,0,0,289,3,26,3,0,0,83,2,3,14,12,21,3,2,23,3,10,87,"El dato de graves fue tomado de la información de Delfino. Este comunicado no fue publicado en Twitter, sino en un archivo PDF del sitio web del Ministerio de Salud."
2020-03-14,13:40,https://twitter.com/msaludcr/status/1238912811427921922,https://twitter.com/delfinocrc/status/1238904601572671492,27,0,0,415,4,27,1,0,0,126,1,1,15,12,22,3,2,23,4,10,87,El dato de graves fue tomado de la información de Delfino.
2020-03-15,15:50,https://twitter.com/msaludcr/status/1239308024587718672,https://twitter.com/delfinocrc/status/1239270020204638220,35,0,0,450,4,35,8,0,0,35,0,8,19,16,28,3,4,30,5,10,87,"El dato de graves fue tomado de la información de Delfino. A partir de esta fecha, los datos se dan desglosados por cantón."
2020-03-16,14:46,https://twitter.com/msaludcr/status/1239654195646644230,https://twitter.com/delfinocrc/status/1239662166443253763,41,0,0,615,4,41,6,0,0,165,0,6,20,21,32,5,4,35,6,10,87,El dato de graves fue tomado de la información de Delfino.
2020-03-17,13:26,https://twitter.com/msaludcr/status/1239996571032436736,https://twitter.com/delfinocrc/status/1239992708741173248,50,0,0,720,4,50,9,0,0,105,0,9,24,26,40,6,4,44,6,10,87,El dato de graves fue tomado de la información de Delfino.
